Datum,Gewicht
01.03.2022,92.9
12.03.2022,92.4
17.03.2022,92.2
20.03.2022,91.7
24.03.2022,92
25.03.2022,91.3
29.03.2022,91
30.03.2022,90.7
03.04.2022,90.8
05.04.2022,90.4
09.04.2022,90.3
12.04.2022,89.7
17.04.2022,90.8
19.04.2022,89.9
26.04.2022,89.8
01.05.2022,89.5
04.05.2022,89.3
06.05.2022,89.2
08.05.2022,88.9
09.05.2022,88.6
15.05.2022,88.6
17.05.2022,88.2
19.05.2022,87.5
21.05.2022,87.5
24.05.2022,87.4
25.05.2022,87
26.05.2022,86.7
28.05.2022,87.6
29.05.2022,87.1
30.05.2022,86.8
01.06.2022,86.5

